,rel,train_step,solver_step
6,0.0002265834918944165,39000,6
7,8.351892756763846e-05,39000,7
8,2.792685518215876e-05,39000,8
9,9.237197446054779e-06,39000,9
10,9.237197446054779e-06,39000,10
11,9.237197446054779e-06,39000,11
0,0.26693910360336304,40000,0
1,0.08547022938728333,40000,1
2,0.025962572544813156,40000,2
3,0.007733335252851248,40000,3
4,0.002058416372165084,40000,4
5,0.0007214669021777809,40000,5
6,0.0001874681474873796,40000,6
7,6.475481495726854e-05,40000,7
8,2.031346593867056e-05,40000,8
9,2.031346593867056e-05,40000,9
10,2.031346593867056e-05,40000,10
11,2.031346593867056e-05,40000,11
0,0.26698946952819824,41000,0
1,0.08769652992486954,41000,1
2,0.02624262310564518,41000,2
3,0.007109297905117273,41000,3
4,0.001972873229533434,41000,4
5,0.0006904305191710591,41000,5
6,0.00019650254398584366,41000,6
7,6.934916018508375e-05,41000,7
8,2.3818774934625253e-05,41000,8
9,9.244799002772197e-06,41000,9
10,3.216944833184243e-06,41000,10
11,3.215063088646275e-06,41000,11
0,0.2546465992927551,42000,0
1,0.08171851933002472,42000,1
2,0.024045430123806,42000,2
3,0.006506560370326042,42000,3
4,0.001866515725851059,42000,4
5,0.0006410435307770967,42000,5
6,0.00017664417100604624,42000,6
7,6.71666202833876e-05,42000,7
8,2.2843694750918075e-05,42000,8
9,7.763949724903796e-06,42000,9
10,7.763949724903796e-06,42000,10
11,7.763949724903796e-06,42000,11
0,0.2589645981788635,43000,0
1,0.08768636733293533,43000,1
2,0.025552760809659958,43000,2
3,0.00672408752143383,43000,3
4,0.002029954455792904,43000,4
5,0.0006703934050165117,43000,5
6,0.0001989403972402215,43000,6
7,7.05178317730315e-05,43000,7
8,2.3932369003887288e-05,43000,8
9,8.765578058955725e-06,43000,9
10,8.765578058955725e-06,43000,10
11,8.765578058955725e-06,43000,11
0,0.2612288296222687,44000,0
1,0.08336853235960007,44000,1
2,0.025027068331837654,44000,2
3,0.007725807838141918,44000,3
4,0.0021489274222403765,44000,4
5,0.0007601363467983902,44000,5
6,0.0002180621086154133,44000,6
7,7.679719419684261e-05,44000,7
8,2.667602529982105e-05,44000,8
9,8.966274435806554e-06,44000,9
10,8.949603397923056e-06,44000,10
11,8.949603397923056e-06,44000,11
0,0.257211834192276,45000,0
1,0.08561733365058899,45000,1
2,0.024811245501041412,45000,2
3,0.006621191278100014,45000,3
4,0.0020399645436555147,45000,4
5,0.0007259734557010233,45000,5
6,0.00022485449153464288,45000,6
7,7.653196371393278e-05,45000,7
8,2.729588231886737e-05,45000,8
9,9.751852303452324e-06,45000,9
10,9.751852303452324e-06,45000,10
11,9.751852303452324e-06,45000,11
